n	tiempo
277001	0.8267
277501	0.842477
278001	0.852386
278501	0.870968
279001	0.992292
279501	0.855015
280001	0.875718
280501	0.867597
281001	0.942544
281501	0.9161
282001	0.950878
282501	0.887437
283001	0.989123
283501	1.14462
284001	1.13001
284501	0.858713
285001	0.927588
285501	0.953251
286001	0.89304
286501	0.942827
287001	0.925295
287501	0.903039
288001	0.991251
288501	0.950971
289001	0.932219
289501	0.923662
290001	1.1488
290501	0.907053
291001	0.937284
291501	0.963566
292001	0.975865
292501	0.943115
293001	0.986274
293501	1.08442
294001	1.14752
294501	1.27355
295001	1.24758
295501	1.31575
296001	1.01641
296501	0.931375
297001	0.935805
297501	1.13404
298001	1.14989
298501	0.9195
299001	0.90101
299501	0.955155
300001	1.08639
300501	1.13946
301001	1.06372
301501	1.01292
302001	1.12244
302501	1.24496
303001	1.17222
303501	1.16277
304001	1.09114
304501	1.06857
305001	0.961197
305501	1.02999
306001	1.14363
306501	1.00597
307001	0.991919
307501	0.97754
308001	1.05382
308501	1.08245
309001	0.992818
309501	0.989017
310001	0.997691
310501	0.975987
311001	0.989702
311501	1.03405
312001	0.997029
312501	0.986221
313001	0.970577
313501	0.977176
314001	0.998127
314501	0.987146
315001	1.09021
315501	1.03353
316001	1.0056
316501	1.16901
317001	1.04835
317501	0.997488
318001	1.03184
318501	1.00805
319001	1.01851
319501	1.01331
320001	1.02391
320501	1.56973
